City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,Sao Filipe,14.8961,-24.4956,76.57,62,11,13.47,CV,2021-02-02 14:05:35
53,Busselton,-33.65,115.3333,67.48,77,0,10.87,AU,2021-02-02 14:03:06
54,Deputatskiy,69.3,139.9,-22.92,88,100,5.41,RU,2021-02-02 14:05:35
55,Ribeira Grande,38.5167,-28.7,55.4,76,40,21.85,PT,2021-02-02 14:05:36
56,Kaoma,-14.7833,24.8,79.23,63,100,4.97,ZM,2021-02-02 14:05:36
57,Carnarvon,-24.8667,113.6333,78.8,100,90,10.36,AU,2021-02-02 14:04:08
58,Hobart,-42.8794,147.3294,57.2,67,90,8.05,AU,2021-02-02 14:05:36
59,Mar Del Plata,-38.0023,-57.5575,69.8,73,90,13.8,AR,2021-02-02 14:05:36
60,Nome,64.5011,-165.4064,12.2,52,20,24.16,US,2021-02-02 14:05:36
61,San Patricio,28.017,-97.5169,42.8,81,75,5.75,US,2021-02-02 14:05:36
62,Lavrentiya,65.5833,-171.0,4.87,90,100,22.62,RU,2021-02-02 14:05:37
63,Airai,-8.9266,125.4092,62.29,100,100,1.45,TL,2021-02-02 14:05:37
64,Abu Dhabi,24.4667,54.3667,73.4,56,0,11.5,AE,2021-02-02 14:01:53
65,Nedjo,9.5046,35.5019,77.7,27,99,4.03,ET,2021-02-02 14:05:37
66,Namibe,-15.1961,12.1522,80.6,57,20,11.5,AO,2021-02-02 14:05:38
67,Polovinnoye,54.7914,65.9864,25.92,97,100,19.06,RU,2021-02-02 14:05:38
68,Socorro,31.6546,-106.3033,46.0,39,75,5.75,US,2021-02-02 14:05:38
69,Flin Flon,54.7682,-101.865,19.4,93,90,5.75,CA,2021-02-02 14:05:38
70,Port Augusta,-32.5,137.7667,66.2,68,0,12.66,AU,2021-02-02 14:05:38
71,Moshi,-3.35,37.3333,86.7,33,94,10.11,TZ,2021-02-02 14:05:39
72,Westport,41.1415,-73.3579,34.0,94,100,1.01,US,2021-02-02 14:05:39
73,Hamilton,39.1834,-84.5333,21.99,68,1,10.36,US,2021-02-02 14:05:39
74,Hutchinson,38.0608,-97.9298,35.6,75,1,13.8,US,2021-02-02 14:04:23
75,Iqaluit,63.7506,-68.5145,-20.0,69,40,4.21,CA,2021-02-02 14:05:39
76,Muroto,33.2833,134.15,46.42,56,0,15.9,JP,2021-02-02 14:05:39
77,Marsh Harbour,26.5412,-77.0636,58.3,74,54,30.85,BS,2021-02-02 14:05:22
78,Ambanja,-13.6833,48.45,91.4,82,75,4.61,MG,2021-02-02 14:05:40
79,Ahipara,-35.1667,173.1667,59.54,89,13,3.18,NZ,2021-02-02 14:05:40
80,Mataura,-46.1927,168.8643,53.51,90,51,1.88,NZ,2021-02-02 14:05:40
81,Eugene,44.0521,-123.0867,44.6,87,90,11.5,US,2021-02-02 14:03:43
82,Toora-Khem,52.4675,96.11,-1.84,88,97,0.85,RU,2021-02-02 14:05:40
83,Burnie,-41.0667,145.9167,59.0,82,74,5.01,AU,2021-02-02 14:05:41
84,Beloha,-25.1667,45.05,91.62,46,1,15.61,MG,2021-02-02 14:05:41
85,Padang,-0.9492,100.3543,78.8,89,40,2.3,ID,2021-02-02 14:05:41
86,Kismayo,-0.3582,42.5454,80.22,70,5,19.24,SO,2021-02-02 14:05:41
87,Cherskiy,68.75,161.3,4.55,85,95,6.58,RU,2021-02-02 14:05:41
88,Bengkulu,-3.8004,102.2655,79.27,85,100,3.36,ID,2021-02-02 14:05:41
89,Ancud,-41.8697,-73.8203,64.4,63,0,8.05,CL,2021-02-02 14:05:42
90,Ilula,-7.6766,36.0366,73.33,75,51,4.34,TZ,2021-02-02 14:05:42
91,Sorrento,40.626,14.3744,62.01,82,40,4.61,IT,2021-02-02 14:05:42
92,Saint-Philippe,-21.3585,55.7679,86.0,70,90,12.66,RE,2021-02-02 14:05:42
93,Yeppoon,-23.1333,150.7333,77.0,78,75,5.75,AU,2021-02-02 14:05:42
94,Leirvik,59.7798,5.5005,32.0,77,67,5.01,NO,2021-02-02 14:05:42
95,Chuy,-33.6971,-53.4616,82.72,59,0,2.01,UY,2021-02-02 14:05:43
96,Orapa,-21.2833,25.3667,80.96,63,95,16.62,BW,2021-02-02 14:05:43
97,Siocon,7.7061,122.1353,77.86,86,100,6.89,PH,2021-02-02 14:05:43
98,Port Elizabeth,-33.918,25.5701,75.2,64,0,19.57,ZA,2021-02-02 14:05:01
99,Dicabisagan,17.0818,122.4157,72.91,83,100,9.17,PH,2021-02-02 14:05:43
100,Ribeira Brava,32.65,-17.0667,63.0,78,56,8.01,PT,2021-02-02 14:05:44
101,Kodiak,57.79,-152.4072,28.4,50,90,9.22,US,2021-02-02 14:05:44
102,Mortka,59.3322,66.0214,18.93,97,100,7.76,RU,2021-02-02 14:05:44
103,Prainha,-1.8,-53.48,82.83,75,66,5.73,BR,2021-02-02 14:05:44
104,Lompoc,34.6391,-120.4579,46.0,100,90,3.44,US,2021-02-02 14:05:44
105,Leningradskiy,69.3833,178.4167,1.99,90,100,27.98,RU,2021-02-02 14:05:44
106,Los Llanos De Aridane,28.6585,-17.9182,68.0,77,90,4.61,ES,2021-02-02 14:05:44
107,Kahului,20.8947,-156.47,66.2,82,1,6.91,US,2021-02-02 14:05:45
108,Tazovskiy,67.4667,78.7,-3.33,91,100,14.65,RU,2021-02-02 14:05:45
109,Frankenburg,48.0684,13.4907,48.0,61,100,3.87,AT,2021-02-02 14:05:45
110,Vao,-22.6667,167.4833,75.88,87,100,35.43,NC,2021-02-02 14:05:45
111,Hasaki,35.7333,140.8333,41.0,48,75,3.44,JP,2021-02-02 14:05:45
